,subject,relation,object,subject_type,object_type
1698,East) Yugansh Dave,scored,highest,PERSON,NOUN_CHUNK
1699,Muskan Sah,scored,95%,PERSON,PERCENT
1700,St Kabir School,registered,rate,ORG,NOUN_CHUNK
1701,Kendriya Vidyalayas,register,better pass rate,PERSON,NOUN_CHUNK
1702,Kendriya Vidyalayas,registered,2.55 % increase,PERSON,NOUN_CHUNK
1703,total,taken,exam,NOUN_CHUNK,NOUN_CHUNK
1704,"1,977 students",cleared,exam,NOUN_CHUNK,NOUN_CHUNK
1705,as many as 17 KVs,said,cent,ORG,NOUN_CHUNK
1706,KV SAC,registered,cent,ORG,NOUN_CHUNK
1707,heads,attended,meeting,NOUN_CHUNK,NOUN_CHUNK
1708,Nitish,regretted,cooperation,PERSON,NOUN_CHUNK
1709,banks,extend,banks cooperation,NOUN_CHUNK,NOUN_CHUNK
1710,completion,improve,basic infrastructure,NOUN_CHUNK,NOUN_CHUNK
1711,different tourism minister,carry forward,Singh dreams,NOUN_CHUNK,NOUN_CHUNK
1712,twins,scored,marks,NOUN_CHUNK,NOUN_CHUNK
1713,twins,scored,95 in physics and chemistry and 98 in maths,NOUN_CHUNK,CARDINAL
1714,Sonam Chhomo,scored,97.8%,PERSON,PERCENT
1715,Japanese companies,made,big ticket investments,NOUN_CHUNK,NOUN_CHUNK
1716,automobile technology giants,set,foot,NOUN_CHUNK,NOUN_CHUNK
1717,hotels,importing,special ingredients,NOUN_CHUNK,NOUN_CHUNK
1718,farmers,committing,suicide,NOUN_CHUNK,NOUN_CHUNK
1719,President,attending,award function,NOUN_CHUNK,NOUN_CHUNK
1720,India Ram Nath Kovind,give away,The Santokbaa Humanitarian Award,PERSON,EVENT
1721,President Kovind,attending,felicitation function,PERSON,NOUN_CHUNK
1722,President Kovind,felicitating,family members,PERSON,NOUN_CHUNK
1723,accused,raped,year old girl,NOUN_CHUNK,NOUN_CHUNK
1724,year old girl father,registered,offence,NOUN_CHUNK,NOUN_CHUNK
1725,students,topped,school,NOUN_CHUNK,NOUN_CHUNK
1726,Yash Khatri,topped,Era Senior Secondary School,PERSON,ORG
1727,37 students,cleared,37 students exams,NOUN_CHUNK,NOUN_CHUNK
1728,Sanya Singh,topped,school,PERSON,NOUN_CHUNK
1729,Vivek Patel,topped,Bhavan School,PERSON,NOUN_CHUNK
1730,Oil millers,demanded,shops,NOUN_CHUNK,NOUN_CHUNK
1731,Government,send,suggestions,NOUN_CHUNK,NOUN_CHUNK
1732,police,admitted to,manhunt,NOUN_CHUNK,NOUN_CHUNK
1733,Mystery,shrouds,sudden death,NOUN_CHUNK,NOUN_CHUNK
1734,Mahavir Hospital authorities,declare,Romit death,NOUN_CHUNK,NOUN_CHUNK
1735,Romit,contacted,Romit family doctor Mitesh Vaidya,PERSON,PERSON
1736,family doctor,prescribed,medicines,NOUN_CHUNK,NOUN_CHUNK
1737,Romit,contacted,his family doctor Mitesh Vaidya,PERSON,PERSON
1738,deceased,informed by,jaundice,NOUN_CHUNK,NOUN_CHUNK
1739,Romit,done,Master’s in Commerce from Navyug Commerce College,PERSON,WORK_OF_ART
1740,police,got,information,NOUN_CHUNK,NOUN_CHUNK
1741,Police,identified,body,NOUN_CHUNK,NOUN_CHUNK
1742,Gondal DySP DM Chauhan,ruled out,extortion angle,PERSON,NOUN_CHUNK
1743,Police,checking,CCTV footage,NOUN_CHUNK,NOUN_CHUNK
1744,Police,investigating,caller,NOUN_CHUNK,NOUN_CHUNK
1745,27-year old school teacher,narrated,incident,NOUN_CHUNK,NOUN_CHUNK
1746,19-year old man,died,heart failure,NOUN_CHUNK,NOUN_CHUNK
1747,Parul father,found inside,village,NOUN_CHUNK,NOUN_CHUNK
1748,Limdi police,arrested,three,NOUN_CHUNK,CARDINAL
1749,Timely intervention,prevented,law order problem,NOUN_CHUNK,NOUN_CHUNK
1750,accused,killed,78-year old man,NOUN_CHUNK,NOUN_CHUNK
1751,Prabhu,asked,Prabhu,PERSON,PERSON
1752,state,has,export commissioner,NOUN_CHUNK,NOUN_CHUNK
1753,Dalit man,hanged,Dalit man,NOUN_CHUNK,NOUN_CHUNK
1754,Jamnagar B Division police,booked,persons,NOUN_CHUNK,NOUN_CHUNK
1755,Bharat,hanged,Bharat,ORG,ORG
1756,Bhailal Doshi,lodged,police complaint,PERSON,NOUN_CHUNK
1757,police,raided,shops,NOUN_CHUNK,NOUN_CHUNK
1758,Police,found,duplicate airpods,NOUN_CHUNK,NOUN_CHUNK
1759,cops,sent to,custody,NOUN_CHUNK,NOUN_CHUNK
1760,scope,included,suitable protection,NOUN_CHUNK,NOUN_CHUNK
1761,Resident doctors,took out,protest march,NOUN_CHUNK,NOUN_CHUNK
1762,traffic brigade jawans,suspended,cash,NOUN_CHUNK,NOUN_CHUNK
1763,Goa police,has,500 vacancies,NOUN_CHUNK,NOUN_CHUNK
1764,(IGP,holds,additional charge,ORG,NOUN_CHUNK
1765,Shakuntala Shah,had,little,PERSON,NOUN_CHUNK
1766,God,given,new life,PERSON,NOUN_CHUNK
1767,Leander Stephen D’Souza,stands,Mount Carmel Central School,PERSON,ORG
1768,girl,uploaded,video,NOUN_CHUNK,NOUN_CHUNK
1769,city police,produced,Kavitha,NOUN_CHUNK,PERSON
1770,nucleus,have,large size,NOUN_CHUNK,NOUN_CHUNK
1771,Karnataka,witnessed,telling example,PERSON,NOUN_CHUNK
1772,respondents,showed,respondents preference,NOUN_CHUNK,NOUN_CHUNK
1773,Congress president Rahul Gandhi,graded,Modi government,PERSON,NOUN_CHUNK
1774,party,highlighted,growing atrocities,NOUN_CHUNK,NOUN_CHUNK
1775,Prime Minister Narendra Modi,’s over,debate dare,PERSON,NOUN_CHUNK
1776,NAGPUR,see,hike,ORG,NOUN_CHUNK
1777,Daily revision,had,adverse impact,NOUN_CHUNK,NOUN_CHUNK
1778,divisions,incurring,huge losses,NOUN_CHUNK,NOUN_CHUNK
1779,Sanjay Chandel,found,mobiles phones,ORG,NOUN_CHUNK
1780,couple,left,couple respective homes,NOUN_CHUNK,NOUN_CHUNK
1781,health department pre - conception pre - natal diagnostic technique PCPNDT cell,tracking,activities,NOUN_CHUNK,NOUN_CHUNK
1782,agent,accompanied,pregnant woman,NOUN_CHUNK,NOUN_CHUNK
1783,PCPNDT cell team,followed,PCPNDT cell team,NOUN_CHUNK,NOUN_CHUNK
1784,Mahesh Parmar,revealed,sex,PERSON,NOUN_CHUNK
1785,PCPNDT cell,seized,equipment,NOUN_CHUNK,NOUN_CHUNK
1786,health department pre - conception pre - natal diagnostic technique PCPNDT cell,tracking,activities,NOUN_CHUNK,NOUN_CHUNK
1787,agent,accompanied,pregnant woman,NOUN_CHUNK,NOUN_CHUNK
1788,PCPNDT cell team,followed,PCPNDT cell team,NOUN_CHUNK,NOUN_CHUNK
1789,Mahesh Parmar,revealed,sex,PERSON,NOUN_CHUNK
1790,PCPNDT cell,seized,equipment,NOUN_CHUNK,NOUN_CHUNK
1791,Eishvauk Aggarwal,topped,the Tricity,PERSON,ORG
1792,Pranav Goyal,bagged,All India Rank (AIR,PERSON,ORG
1793,Pranav Goyal,scored,10 CGP,PERSON,NOUN_CHUNK
1794,Pranav Goyal,won,the National Talent Search Examination,PERSON,WORK_OF_ART
1795,JDA,sign,supplementary memorandum,ORG,NOUN_CHUNK
1796,NHAI,provide,35 crore,ORG,MONEY
1797,NHAI,provide,8 % interest,ORG,NOUN_CHUNK
1798,major fire,engulfed,shops,NOUN_CHUNK,NOUN_CHUNK
1799,MC,reduced to,fire station,ORG,NOUN_CHUNK
1800,Farmers bodies,accused,government,NOUN_CHUNK,NOUN_CHUNK
1801,Visva-Bharati,held,Visva-Bharati convocation,ORG,ORG
1802,student protests,brought,activities,NOUN_CHUNK,NOUN_CHUNK
1803,talented people,fantastic combination of,adaptation,NOUN_CHUNK,NOUN_CHUNK
1804,Venkatesh,made,remarks,PERSON,NOUN_CHUNK
1805,hotelier Kumar,filed,police complaint,PERSON,NOUN_CHUNK
1806,Venkatesh,advised,Congress workers,PERSON,NOUN_CHUNK
1807,activists,created,trouble,NOUN_CHUNK,NOUN_CHUNK
1808,villagers,workers,mad dogs,NOUN_CHUNK,NOUN_CHUNK
1809,husband,has,heart problem,NOUN_CHUNK,NOUN_CHUNK
1810,Das couple,let,hamper,NOUN_CHUNK,NOUN_CHUNK
1811,100 youngsters,transformed,entire theme,NOUN_CHUNK,NOUN_CHUNK
1812,100 youngsters,transformed,entire theme,NOUN_CHUNK,NOUN_CHUNK
1813,officers,decided,ration money allowance,NOUN_CHUNK,NOUN_CHUNK
1814,Cinema,expressed in,language,ORG,NOUN_CHUNK
1815,lot,earning,good money,NOUN_CHUNK,NOUN_CHUNK
1816,Swwapnil,beat,heat mantra,PERSON,NOUN_CHUNK
1817,City police control room,had,information,NOUN_CHUNK,NOUN_CHUNK
1818,municipalities,fine,people,NOUN_CHUNK,NOUN_CHUNK
1819,authorities,safeguard,public property,NOUN_CHUNK,NOUN_CHUNK
1820,tree,blocking,road,NOUN_CHUNK,NOUN_CHUNK
1821,numberplate,seen on,judge,NOUN_CHUNK,NOUN_CHUNK
1822,Bodhraj,scored,99.4%,ORG,PERCENT
1823,City girl,missed,AIR second position,NOUN_CHUNK,NOUN_CHUNK
1824,destiny,had,plans,NOUN_CHUNK,NOUN_CHUNK
1825,tree,has,big hole,NOUN_CHUNK,NOUN_CHUNK
1826,cop,riding,pillion,NOUN_CHUNK,NOUN_CHUNK
1827,team,seized,92 plastic cartons,NOUN_CHUNK,NOUN_CHUNK
1828,accused,bought,turtles,NOUN_CHUNK,NOUN_CHUNK
1829,turtles,sold,turtles,NOUN_CHUNK,NOUN_CHUNK
1830,borders,claimed,official,NOUN_CHUNK,NOUN_CHUNK
1831,officer,takes,note,NOUN_CHUNK,NOUN_CHUNK
1832,Siddhant Dhingra,scored,100 in chemistry,PERSON,CARDINAL
1833,Siddhant Dhingra,took,tuitions,PERSON,NOUN_CHUNK
1834,Hardly 20 % candidates,achieve,feat,NOUN_CHUNK,NOUN_CHUNK
1835,Telanagana schools,attribute,good,NOUN_CHUNK,NOUN_CHUNK
1836,schools,attributed,good,NOUN_CHUNK,NOUN_CHUNK
1837,"4,000 students",took,board exams,NOUN_CHUNK,NOUN_CHUNK
1838,CM K Chandrasekhar Rao,conveyed,CM K Chandrasekhar Rao condolences,PERSON,NOUN_CHUNK
1839,Irrigation minister T Harish Rao,announced,gratia,PERSON,NOUN_CHUNK
1840,Gandhi Hospital superintendent Dr Sravan Kumar,told,reporters,PERSON,NOUN_CHUNK
1841,Chandak,scored,495 out of 500,PERSON,CARDINAL
1842,Sayantan Das,bagged,96.2%,PERSON,PERCENT
1843,police,identified,man,NOUN_CHUNK,NOUN_CHUNK
1844,policeman,nabbed,Hariharan,NOUN_CHUNK,ORG
1845,policeman,seized,foot long knife,NOUN_CHUNK,NOUN_CHUNK
1846,diet medical chart,has,details,NOUN_CHUNK,NOUN_CHUNK
1847,commission,released,short audio clip,NOUN_CHUNK,NOUN_CHUNK
1848,Waqf inspector,taking,action,NOUN_CHUNK,NOUN_CHUNK
1849,Mudraboina Naga Malleswara Rao,sailed,dredger boat,PERSON,NOUN_CHUNK
1850,SDRF swimmers,fished out,bodies,NOUN_CHUNK,NOUN_CHUNK
1851,boats,learned,licences,NOUN_CHUNK,NOUN_CHUNK
1852,SpiceJet,introduced,additional flight,ORG,NOUN_CHUNK
1853,Chennai Kozhikode route,has,direct flights,NOUN_CHUNK,NOUN_CHUNK
1854,airlines,increased,airlines flights,NOUN_CHUNK,NOUN_CHUNK
1855,SpiceJet,introduced,direct flights,ORG,NOUN_CHUNK
1856,Udan flights,have,fare cap,NOUN_CHUNK,NOUN_CHUNK
1857,SGPDA market effluent,puts,spotlight,NOUN_CHUNK,NOUN_CHUNK
1858,delegation,met,N Venkat Reddy,NOUN_CHUNK,PERSON
1859,The Local Military Authority,examining,feasibility,ORG,NOUN_CHUNK
1860,officials,told,MP,NOUN_CHUNK,NOUN_CHUNK
1861,the MP,said,The Local Military Authority,ORG,ORG
1862,The Local Military Authority,deployed,10 soldiers,ORG,NOUN_CHUNK
1863,child helpline officials,informed,girl,NOUN_CHUNK,NOUN_CHUNK
1864,survivor,refused,proposal,NOUN_CHUNK,NOUN_CHUNK
1865,two,enrolled,family members names,CARDINAL,NOUN_CHUNK
1866,Wings Aviation Pvt Ltd,launching,24/7 air ambulance emergency service,ORG,NOUN_CHUNK
1867,wife,said,suicide,NOUN_CHUNK,NOUN_CHUNK
1868,Police,identified,accused,NOUN_CHUNK,NOUN_CHUNK
1869,People,throng,Central Metro,NOUN_CHUNK,LOC
1870,Central Commuters,witnessed,similar issues,NOUN_CHUNK,NOUN_CHUNK
1871,weather monitoring cell,recorded,maximum temperature,NOUN_CHUNK,NOUN_CHUNK
1872,Hot northwesterly winds,lashing,state,NOUN_CHUNK,NOUN_CHUNK
1873,LU cell data,showed,night temperatures,NOUN_CHUNK,NOUN_CHUNK
1874,Sharanya Gopinath,tasted,sweet kadalpaasi,PERSON,NOUN_CHUNK
1875,police control room PCR van,reached,spot,NOUN_CHUNK,NOUN_CHUNK
1876,bullet,pierced,Ashish,NOUN_CHUNK,PERSON
1877,cops,overpowered,six,NOUN_CHUNK,CARDINAL
1878,Haryana Congress president Ashok Tanwar,called,four years,PERSON,DATE
1879,Haryana Congress president Ashok Tanwar,addressing,newspersons,PERSON,NOUN_CHUNK
1880,Congress workers,took out,procession,NOUN_CHUNK,NOUN_CHUNK
1881,vice president,got,vice president,NOUN_CHUNK,NOUN_CHUNK
1882,Modi Haryana governments,let,details,NOUN_CHUNK,NOUN_CHUNK
1883,The Congress,took,The Congress,ORG,ORG
1884,Former minister Bikram Singh Majithia,drove,one,PERSON,CARDINAL
1885,Amarinder roadshow,covered,major,NOUN_CHUNK,NOUN_CHUNK
1886,SAD roadshow,got,participants,NOUN_CHUNK,NOUN_CHUNK
1887,number,bagged,positions,NOUN_CHUNK,NOUN_CHUNK
1888,Sohan Singh,said,minor,PERSON,NOUN_CHUNK
1889,owners,understand,complications,NOUN_CHUNK,NOUN_CHUNK
1890,The Congress,held,protest demonstrations,ORG,NOUN_CHUNK
1891,protesters,raised,issue,NOUN_CHUNK,NOUN_CHUNK
1892,Dr Sonia Moudgil,got,case,PERSON,NOUN_CHUNK
1893,Indian Air Force helicopters,made,repeated trips,NOUN_CHUNK,NOUN_CHUNK
1894,AAP candidates Khalsa,won,elections,ORG,NOUN_CHUNK
1895,AAP political affairs committee,suspended,Dr Gandhi,NOUN_CHUNK,PERSON
1896,working group members,apprise,President Ram Nath Kovind,NOUN_CHUNK,PERSON
1897,200 consultations,took,place,NOUN_CHUNK,NOUN_CHUNK
1898,B K Agarwal,said,information,PERSON,NOUN_CHUNK
1899,B K Agarwal,advised,people,PERSON,NOUN_CHUNK
1900,Education minister O P Soni,trashed,arbitrary transfer orders,PERSON,NOUN_CHUNK
1901,CHANDIGARH court,extended,police remand,NOUN_CHUNK,NOUN_CHUNK
1902,Punjab government,reducing,VAT,NOUN_CHUNK,NOUN_CHUNK
1903,Himachal Pradesh,charges,Rs 24.36,GPE,ORG
1904,Punjab BJP president Shwait Malik,blamed,state finance minister Manpreet Singh Badal,PERSON,PERSON
1905,LUCKNOW mother,suffered,neuro attack,NOUN_CHUNK,NOUN_CHUNK
1906,CBSE schools,recorded,100 % pass,NOUN_CHUNK,NOUN_CHUNK
1907,girls,outperformed,boys,NOUN_CHUNK,NOUN_CHUNK
1908,Boys,give,importance,NOUN_CHUNK,NOUN_CHUNK
1909,teachers,elaborate,paper,NOUN_CHUNK,NOUN_CHUNK
1910,Life,taught,hard way,NOUN_CHUNK,NOUN_CHUNK
1911,rounder,won,accolades,NOUN_CHUNK,NOUN_CHUNK
1912,Divya Kaur,won,gold medals,PERSON,NOUN_CHUNK
1913,aspiring IAS officer,scored,82.4%,NOUN_CHUNK,PERCENT
1914,Residents,slam,BBMP,NOUN_CHUNK,NOUN_CHUNK
1915,BDA,suspended,BDA assistant engineer Devaraj,ORG,PERSON
1916,the entire senate,decide,quantum,ORG,NOUN_CHUNK
1917,Panjab University syndicate,approved,5 % fee hike,NOUN_CHUNK,NOUN_CHUNK
1918,committee,identified,certain time jobs,NOUN_CHUNK,NOUN_CHUNK
1919,Panjab University syndicate,approved,recommendations,NOUN_CHUNK,NOUN_CHUNK
1920,syndicate,approved,the minutes,NOUN_CHUNK,TIME
1921,syndicate,approved,the minutes,NOUN_CHUNK,TIME
1922,syndicate,approved,admission guidelines,NOUN_CHUNK,NOUN_CHUNK
1923,syndicate,accepted,donation,NOUN_CHUNK,NOUN_CHUNK
1924,syndicate,discussed,issues,NOUN_CHUNK,NOUN_CHUNK
1925,PU,seek,salary details,ORG,NOUN_CHUNK
1926,City-based heritage expert Ajay Jagga,lodged,complaint,PERSON,NOUN_CHUNK
1927,City-based heritage expert Ajay Jagga,moved,petition,PERSON,NOUN_CHUNK
1928,easy general knowledge section,countered,trouble,NOUN_CHUNK,NOUN_CHUNK
1929,light rainfall,grace,isolated parts,NOUN_CHUNK,NOUN_CHUNK
1930,bank officials,told,Kumari,NOUN_CHUNK,PERSON
1931,Kumari,filed,complaint,PERSON,NOUN_CHUNK
1932,marks,brought,pleasant surprise,NOUN_CHUNK,NOUN_CHUNK
1933,financial stress,deter,Parveen,NOUN_CHUNK,PERSON
1934,.Pandey,suffered,head injury,CARDINAL,NOUN_CHUNK
1935,Sunrisers Hyderabad,made,final,PERSON,NOUN_CHUNK
1936,answer,left,the Kiwi,NOUN_CHUNK,LANGUAGE
1937,major drawback,hiding,slouches,NOUN_CHUNK,NOUN_CHUNK
1938,A broke MC MC,sought,repair money,ORG,NOUN_CHUNK
1939,Sunrisers Hyderabad,made,final,PERSON,NOUN_CHUNK
1940,administrators,are,charm,NOUN_CHUNK,NOUN_CHUNK
1941,T20s,give,facelift,ORG,NOUN_CHUNK
1942,guys,have,balance,NOUN_CHUNK,NOUN_CHUNK
1943,Administrators,have off,seasons,NOUN_CHUNK,DATE
1944,People,reverse,sweep,NOUN_CHUNK,NOUN_CHUNK
1945,Kohli,do,game?I,ORG,NOUN_CHUNK
1946,Kohli,handle,your own game?I Virat) Kohli,ORG,PERSON
1947,Kohli,knows,Virat,ORG,PERSON
1948,Kohli,play,quirky shots,ORG,NOUN_CHUNK
1949,Kohli,values,Virat,ORG,PERSON
1950,Pakistan,have,pace attack,GPE,NOUN_CHUNK
1951,Pakistan,have,aggression,GPE,NOUN_CHUNK
1952,civic authorities,ignored,repeated complaints,NOUN_CHUNK,NOUN_CHUNK
1953,municipal corporation,sanctioned,Rs 25 lakh,NOUN_CHUNK,FAC
1954,team,found,big gaps,NOUN_CHUNK,NOUN_CHUNK
1955,members,raised,issue,NOUN_CHUNK,NOUN_CHUNK
1956,team,inspected,10 brick kilns,NOUN_CHUNK,NOUN_CHUNK
1957,officials,noticed,pair,NOUN_CHUNK,NOUN_CHUNK
1958,family,rescued,release certificates,NOUN_CHUNK,NOUN_CHUNK
1959,civic officials,detected,"4,000 submersible pumps",NOUN_CHUNK,NOUN_CHUNK
1960,Fire department officials,said,Fire department officials,NOUN_CHUNK,NOUN_CHUNK
1961,local court,sentenced,persons,NOUN_CHUNK,NOUN_CHUNK
1962,Daresi police,booked,three,NOUN_CHUNK,CARDINAL
1963,daughter school teacher,told,girl,NOUN_CHUNK,NOUN_CHUNK
1964,girl,disclose,entire incident,NOUN_CHUNK,NOUN_CHUNK
1965,Punjab Pollution Control Board PPCB members,shared,stage,NOUN_CHUNK,NOUN_CHUNK
1966,Eco friendly plastic bags,have,capability,NOUN_CHUNK,NOUN_CHUNK
1967,Met department forecast,predict,immediate respite,NOUN_CHUNK,NOUN_CHUNK
1968,Chandigarh,has,word,GPE,NOUN_CHUNK
1969,residents,protect,residents,NOUN_CHUNK,NOUN_CHUNK
1970,Met department website,predicts,night temperature,NOUN_CHUNK,NOUN_CHUNK
1971,IO,added,21-year old complainant,ORG,NOUN_CHUNK
1972,Agents,offering,tour packages,NOUN_CHUNK,NOUN_CHUNK
1973,Alex P Sunil,asked,friends,PERSON,NOUN_CHUNK
1974,30-year old single mother,confronted,big cat,NOUN_CHUNK,NOUN_CHUNK
1975,10-year old daughter,helping,30-year old single mother,NOUN_CHUNK,NOUN_CHUNK
1976,leopard,dropped,injured girl,NOUN_CHUNK,NOUN_CHUNK
1977,30-year old single mother,said to,treatment,NOUN_CHUNK,NOUN_CHUNK
1978,range officer,lauded,Muthulakshmi,NOUN_CHUNK,PERSON
1979,Rashid Rashid,puts,the Sunrisers,PERSON,PERSON
1980,man,played,fabulous shots,NOUN_CHUNK,NOUN_CHUNK
1981,home décor,spell,comfort,NOUN_CHUNK,NOUN_CHUNK
1982,Open ventilated rooms,give,feeling,NOUN_CHUNK,NOUN_CHUNK
1983,Summer décor,adds,use,NOUN_CHUNK,NOUN_CHUNK
1984,Neyveli police,registered,man missing case,NOUN_CHUNK,NOUN_CHUNK
1985,men,approached,Vinod Kumar,NOUN_CHUNK,PERSON
1986,CSK,lost,little time,ORG,NOUN_CHUNK
1987,Suresh Raina,look,far dangerous players,PERSON,NOUN_CHUNK
1988,amenities,include,retail fuel outlets,NOUN_CHUNK,NOUN_CHUNK
1989,list,had,scores,NOUN_CHUNK,NOUN_CHUNK
1990,Prakhar and RN Shivani,topped,state,ORG,NOUN_CHUNK
1991,.Students and parents,exchanged,jubilant greetings,CARDINAL,NOUN_CHUNK
1992,Prakhar and RN Shivani,topped,state,ORG,NOUN_CHUNK
1993,Students,exchanged,jubilant greetings,NOUN_CHUNK,NOUN_CHUNK
1994,BJP,But the state,politics,ORG,NOUN_CHUNK
1995,locals,intimated,fire office,NOUN_CHUNK,NOUN_CHUNK
1996,musicains,played,hit songs,NOUN_CHUNK,NOUN_CHUNK
1997,audience,won,goodie bags,NOUN_CHUNK,NOUN_CHUNK
1998,this new-look Germany,buck,READ,GPE,NOUN_CHUNK
1999,Italy,won,World Cups,GPE,EVENT
2000,players,express,Tite,NOUN_CHUNK,NOUN_CHUNK
2001,nations,provided,things,NOUN_CHUNK,NOUN_CHUNK
2002,talent,needed,trophy,NOUN_CHUNK,NOUN_CHUNK
2003,hard work,guarantee,success,NOUN_CHUNK,NOUN_CHUNK
2004,shield,passed,test,NOUN_CHUNK,NOUN_CHUNK
2005,Girls,outperformed,boys,NOUN_CHUNK,NOUN_CHUNK
2006,Ajmer region,includes,Rajasthan,NOUN_CHUNK,GPE
2007,Bodhraj,scored,99.4%,ORG,PERCENT
2008,City girl,missed,AIR second position,NOUN_CHUNK,NOUN_CHUNK
2009,schools,achieved,marks,NOUN_CHUNK,NOUN_CHUNK
2010,V Mahesh,achieved,highest marks,NOUN_CHUNK,NOUN_CHUNK
2011,Ritu Raj Anand,achieved,highest marks,PERSON,NOUN_CHUNK
2012,Ritu Raj Anand,scored,total,PERSON,NOUN_CHUNK
2013,students,passed,exam,NOUN_CHUNK,NOUN_CHUNK
2014,schools,achieved,marks,NOUN_CHUNK,NOUN_CHUNK
2015,V Mahesh,achieved,highest marks,NOUN_CHUNK,NOUN_CHUNK
2016,Ritu Raj Anand,achieved,highest marks,PERSON,NOUN_CHUNK
2017,Ritu Raj Anand,scored,total,PERSON,NOUN_CHUNK
2018,students,passed,exam,NOUN_CHUNK,NOUN_CHUNK
2019,Meghna achievement,thrilled,Meghna parents Gautam,NOUN_CHUNK,PERSON
2020,Gautam,taken,tuitions,PERSON,NOUN_CHUNK
2021,India topper,has,advice,NOUN_CHUNK,NOUN_CHUNK
2022,Netherlands,pulled,things,GPE,NOUN_CHUNK
2023,thief,visited,26-year old businessman Bharath Rathod shop,NOUN_CHUNK,NOUN_CHUNK
2024,Bizman,caught,thief,ORG,NOUN_CHUNK
2025,youth,caught,attention,NOUN_CHUNK,NOUN_CHUNK
2026,Hewasthen,taken,totheCity Market police station,PERSON,NOUN_CHUNK
2027,police personnelcounteredhim,alerted,senior police officers,PERSON,NOUN_CHUNK
2028,Akshat Goyal,scored,98.8%,PERSON,PERCENT
2029,student,scored,full 100 marks,NOUN_CHUNK,MONEY
2030,Goyal,giving,Goyal Common Proficiency Test,ORG,PERSON
2031,Goyal,kept,Goyal,PERSON,PERSON
2032,Siddaramaiah,replaced,vehicle,GPE,NOUN_CHUNK
2033,cops,keep,eye,NOUN_CHUNK,NOUN_CHUNK
2034,Police,ensure,law,NOUN_CHUNK,NOUN_CHUNK
2035,J&K people,threaten,dhaba owners,NOUN_CHUNK,NOUN_CHUNK
2036,dispute,taken,new turn,NOUN_CHUNK,NOUN_CHUNK
2037,cops,keep,eye,NOUN_CHUNK,NOUN_CHUNK
2038,Police,ensure,law,NOUN_CHUNK,NOUN_CHUNK
2039,J&K people,threaten,dhaba owners,NOUN_CHUNK,NOUN_CHUNK
2040,dispute,taken,new turn,NOUN_CHUNK,NOUN_CHUNK
2041,Students,gave,stellar performance,NOUN_CHUNK,NOUN_CHUNK
2042,An elated Anoushka,But,100,PERSON,CARDINAL
2043,SP Srivastava,works in,father,PERSON,NOUN_CHUNK
2044,Nakul Gupta,bagged,joint spot,PERSON,NOUN_CHUNK
2045,Students,gave,stellar performance,NOUN_CHUNK,NOUN_CHUNK
2046,An elated Anoushka,But,100,PERSON,CARDINAL
2047,SP Srivastava,works in,father,PERSON,NOUN_CHUNK
2048,Nakul Gupta,bagged,joint spot,PERSON,NOUN_CHUNK
2049,Mandalgarh police,got,information,NOUN_CHUNK,NOUN_CHUNK
2050,Police,reached,spot,NOUN_CHUNK,NOUN_CHUNK
2051,daughter,topped,CBSE Class XII exams,NOUN_CHUNK,NOUN_CHUNK
2052,Sama Shabir,scored,97.8%,PERSON,PERCENT
2053,Kallis,lauds,KKR resilience,PERSON,NOUN_CHUNK
2054,Young Shubman Gill,tried,Young Shubman Gill,PERSON,PERSON
2055,KKR,had,pretty comprehensive wins,ORG,NOUN_CHUNK
2056,Rushing waters,flooded,typically dry creek beds,NOUN_CHUNK,NOUN_CHUNK
2057,Yemeni officials,reported,damage,NOUN_CHUNK,NOUN_CHUNK
2058,India's Meteorological Department,called,cyclone,ORG,NOUN_CHUNK
2059,Branches,littered,streets,NOUN_CHUNK,NOUN_CHUNK
2060,Omani forecasters,received,278.2 mm,NOUN_CHUNK,QUANTITY
2061,storm rains,supercharged,storm rains famous waterfall,NOUN_CHUNK,NOUN_CHUNK
2062,Socotra,has,unique ecosystem,ORG,NOUN_CHUNK
2063,ALLAHABAD region,announced,dip,NOUN_CHUNK,NOUN_CHUNK
2064,CBSE,announce,names,NOUN_CHUNK,NOUN_CHUNK
2065,girls,outperformed,boys,NOUN_CHUNK,NOUN_CHUNK
2066,Girls,improved,Girls,NOUN_CHUNK,NOUN_CHUNK
2067,Allahabad region,registered,pass percentage,NOUN_CHUNK,NOUN_CHUNK
2068,Abhishek Verma,missed,semifinal berth,PERSON,NOUN_CHUNK
2069,Pankaj Singh,got,extortion demand,PERSON,NOUN_CHUNK
2070,Pranav,bagged,All India Rank (AIR,ORG,ORG
2071,this Pranav,won,the National Talent Search Examination,PERSON,WORK_OF_ART
2072,franchise,need,attacking opener,NOUN_CHUNK,NOUN_CHUNK
2073,franchise,pick,squad,NOUN_CHUNK,NOUN_CHUNK
2074,Sreesanth,lost,Sreesanth swinger,PERSON,NOUN_CHUNK
2075,Analytics,taking,player capabilities,ORG,NOUN_CHUNK
2076,Abhinav Prakash,got,95 in chemistry,PERSON,CARDINAL
2077,MLAs,have,resort bag,ORG,NOUN_CHUNK
2078,party bags,reach,resort,NOUN_CHUNK,NOUN_CHUNK
2079,elected representatives,elected,temples,NOUN_CHUNK,NOUN_CHUNK
2080,16 students,scored,96 %,NOUN_CHUNK,PERCENT
