,subject,relation,object,subject_type,object_type
87,Dr Viswanathan,approached,CFTI,PERSON,NOUN_CHUNK
88,builders,book,load,NOUN_CHUNK,NOUN_CHUNK
89,Builders Association of India,addressed,issue,ORG,NOUN_CHUNK
90,large number,staged,road block protest,NOUN_CHUNK,NOUN_CHUNK
91,police,registered against,identities,NOUN_CHUNK,NOUN_CHUNK
92,bike borne duo,pelted,stones,NOUN_CHUNK,NOUN_CHUNK
93,closedown,received,lukewarm response,NOUN_CHUNK,NOUN_CHUNK
94,boy,hanged,boy,NOUN_CHUNK,NOUN_CHUNK
95,Police,received,memo,NOUN_CHUNK,NOUN_CHUNK
96,boy family,is,house,NOUN_CHUNK,NOUN_CHUNK
97,Police,continued,Police arrests,NOUN_CHUNK,NOUN_CHUNK
98,Monitoring officer,urged,people,NOUN_CHUNK,NOUN_CHUNK
99,water levels,reaching,dead storage,NOUN_CHUNK,NOUN_CHUNK
100,A K Dutta,inaugurated,system,ORG,NOUN_CHUNK
101,Human Resource Development minister Ganta Srinivasa Rao,finalized,dates,PERSON,NOUN_CHUNK
102,Students,select,colleges,NOUN_CHUNK,NOUN_CHUNK
103,Students,enter,Students college course options,NOUN_CHUNK,NOUN_CHUNK
104,family members,informed,police,NOUN_CHUNK,NOUN_CHUNK
105,Police,found,pair,NOUN_CHUNK,NOUN_CHUNK
106,TNPCB order,cited,rejection,NOUN_CHUNK,NOUN_CHUNK
107,source,told,TOI,NOUN_CHUNK,PERSON
108,TOI team,confronted by,Therespuram,NOUN_CHUNK,ORG
109,children,exercised by,the Hindon Canal,NOUN_CHUNK,FAC
110,children,reported from,the Hindon Canal,NOUN_CHUNK,LOC
111,boys,been,water,NOUN_CHUNK,NOUN_CHUNK
112,groups,perform,stunts,NOUN_CHUNK,NOUN_CHUNK
113,Police,followed,steps,NOUN_CHUNK,NOUN_CHUNK
114,Police,continued,Police arrests,NOUN_CHUNK,NOUN_CHUNK
115,police,said,Boominathan,NOUN_CHUNK,GPE
116,Peerkankaranai police,registered,case,NOUN_CHUNK,NOUN_CHUNK
117,discussion,gave,interesting insights,NOUN_CHUNK,NOUN_CHUNK
118,Women,have,word,NOUN_CHUNK,NOUN_CHUNK
119,state government,provide,three acres,NOUN_CHUNK,QUANTITY
120,The upcoming biopic 'Gul Makai,chronicles,life,PERSON,NOUN_CHUNK
121,director Amjad Khan director Amjad Khan,chose,actors,PERSON,NOUN_CHUNK
122,Child artiste,portraying,Malala,NOUN_CHUNK,PERSON
123,director Amjad Khan,composed,music,PERSON,NOUN_CHUNK
